,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
555,False,/xOPvlQi0JNCfqeK8SzFgXMl8de.jpg,"[35, 18, 10402]",63710,en,Honey 2,"Sequel to the 2003 dance movie Honey. Recently released from juvenile detention, talented dancer Maria Ramirez finds an outlet for her passion with a new dance crew.",10.118321,/2pVEMvhXtEUu2rnY94rCZUQ43HL.jpg,2011-06-23,Honey 2,False,5.9,146
556,False,/m7MEwvEhfteaKN6eyYbj3feO1hN.jpg,"[18, 10402]",939,en,The Jazz Singer,"A young Jewish man is torn between tradition and individuality when his old-fashioned family objects to his career as a jazz singer. This is the first full length feature film to use synchronized sound, and is the original film musical.",4.336785,/uw4yn5a8dQZA13mnmbKzRjEWerg.jpg,1927-10-06,The Jazz Singer,False,6.1,41
557,False,/xWH5knJVEuBDwj7F1xiyHU53PCc.jpg,[],50323,th,น้ำตาลแดง,"The Thai film contains 6 short erotic stories of love, greed, wrath, and obsession that blend in various genres like thriller, action, drama, romance and comedy.",3.097102,/6ycdmNAk0ZbMX0Wdk7SgxGBis9w.jpg,2010-08-25,Brown Sugar,False,4.0,3
558,False,/oBdLrX5iJBZmPsV5EaeK5T92Z8w.jpg,"[12, 16, 18, 14]",21290,en,Strings,"Strings is a mythological story about the son of a king, Hal Tara, who sets out on a journey to avenge the death of his father. To his surprise he discovers the truth of his own people - and where he least expects it - he finds true love.",4.760103,/bCZu9u1Y54AOSKTl1hq1piS71US.jpg,2004-10-24,Strings,False,7.1,24
559,False,/pkLPRHRMMEnSZpMAgFa6ILNSZjU.jpg,"[18, 10402, 10749]",79464,hi,Rockstar,An uninhibited youth woos the hottest about-to-be-married college girl. He rises to become a rock-star - then self-destructs.,5.629832,/qLrKvYowiWDGc0cMqIA5KT8KuJq.jpg,2011-11-11,Rockstar,False,7.3,56
560,False,/m7MEwvEhfteaKN6eyYbj3feO1hN.jpg,"[18, 10402]",939,en,The Jazz Singer,"A young Jewish man is torn between tradition and individuality when his old-fashioned family objects to his career as a jazz singer. This is the first full length feature film to use synchronized sound, and is the original film musical.",4.336785,/uw4yn5a8dQZA13mnmbKzRjEWerg.jpg,1927-10-06,The Jazz Singer,False,6.1,41
561,False,/wVDS6tI2cCwiCwnor44A6ra7xVv.jpg,"[53, 9648]",220286,en,Grand Piano,"Moments before his comeback performance, a concert pianist who suffers from stage fright discovers a note written on his music sheet.",8.883858,/mezHAShvJW2cNkeOPOimtgjAESR.jpg,2013-10-11,Grand Piano,False,6.0,219
562,False,/8pSKtv05eTN4tZhPqFyPLaeUwAt.jpg,"[10402, 27, 10749]",15855,en,Phantom of the Opera,"Pit violinist Claudin hopelessly loves rising operatic soprano Christine Dubois (as do baritone Anatole and police inspector Raoul) and secretly aids her career. But Claudin loses both his touch and his job, murders a rascally music publisher in a fit of madness, and has his face etched with acid. Soon, mysterious crimes plague the Paris Opera House, blamed on a legendary ""phantom"".",4.050214,/arz5AihC0yDYPGKzWxdb21paIdM.jpg,1943-08-27,Phantom of the Opera,False,5.9,39
563,False,/fyd4zOWeKVF317xWyXW4PeX21Qh.jpg,[35],16096,en,House Party 2,Kid'N'Play leave their neighborhood and enter the world of adulthood and higher education. Play attempts to get rich quick in the music business while Kid faces the challenges of college.,4.828147,/h6zniHE94wg65lMvYbFOdNkJvjy.jpg,1991-10-23,House Party 2,False,4.9,28
564,False,/8SifcnEhYNoCXH6ih4izjjtzTN6.jpg,"[18, 35, 10402]",9526,en,A Prairie Home Companion,"A look at what goes on backstage during the last broadcast of America's most celebrated radio show, where singing cowboys Dusty and Lefty, a country music siren, and a host of others hold court",7.932709,/xPQWIU8tffw6lsmBF4oeJmFnoqs.jpg,2006-06-09,A Prairie Home Companion,False,6.4,104
565,False,/en6eiLMvFiwwDDUCohuxDSxhLnN.jpg,[18],254578,de,Phoenix,"A disfigured concentration-camp survivor, unrecognizable after facial reconstruction surgery, searches ravaged postwar Berlin for the husband who might have betrayed her to the Nazis.",6.566546,/bI7SEgPy1SEZFmOeYmP8keskIrU.jpg,2014-09-25,Phoenix,False,6.5,168
566,False,/qSuFGUOU7YqBAgeHg3SZDzBOe8G.jpg,"[10402, 16, 35, 18, 10751]",438695,en,Sing 2,"Sequel to the 2016 animated film, 'Sing'.",1.043875,/k0Ou3ebfbRNj8lLmozU9hR81II.jpg,2020-12-25,Sing 2,False,0.0,0
567,False,/db0tQH4SYqK1XbksVRYV5khYkIa.jpg,"[18, 10402, 10749]",42045,en,Sweet Dreams,"Lange stunningly portrays Patsy Cline, the velvet-voiced country singer who died in a tragic plane crash.",2.922465,/bguhQWpe69PivtZ2AyIYrHkFebW.jpg,1985-10-02,Sweet Dreams,False,7.0,14
568,False,/jfdi1qRZOpVgpPgye6jTB8kdJuh.jpg,"[28, 12, 35]",12704,en,Ishtar,"Two terrible lounge singers get booked to play a gig in a Moroccan hotel but somehow become pawns in an international power play between the CIA, the Emir of Ishtar, and the rebels trying to overthrow his regime",3.776414,/fttHfkyvPtTP1LU8RodBIvyUN8A.jpg,1987-05-15,Ishtar,False,4.4,40
569,False,/5RlGbu1UHXzdIMOTxfe5omnbbDs.jpg,[35],34188,en,The Jerk Theory,"An aspiring recording artist, Adam, is burned by a bad relationship experience and decides that if women won't respond to the ""nice guy"" then he'll be ""the jerk."" This is wildly successful with meaningless relationships, but when Adam meets and falls for Molly, who doesn""t fall for his jerk routine, Adam is forced to reconsider his dating philosophy.",3.436065,/6SvlhLrPnOqR7hFoTryQDkzsRsR.jpg,2009-02-05,The Jerk Theory,False,5.3,35
570,False,/2yqKq6Fenh17QJZrsXRskWLx9tq.jpg,"[18, 10402]",40082,en,The Mambo Kings,"The Mambo Kings tells the story of César and Nestor Castillo, brothers and aspiring musicians who flee from Cuba to America in search of the American Dream.",3.382035,/yAMYoODA6FzHPwycrBwwrjKv1A4.jpg,1992-02-28,The Mambo Kings,False,5.9,40
